Genus	Hybrid	iacLike	iadLike	TotalGenus	PropHybrid	PropiacLike	PropiadLike	ClassificationMajority	RatioSampledMeanDistPhylo
Acetobacter	0	22	0	147	0	0.149659863945578	0	iacLike	0.0257072553451372
Achromobacter	0	0	200	211	0	0	0.947867298578199	iadLike	0.704463720641429
Acidisphaera	0	0	1	3	0	0	0.333333333333333	iadLike	0.482404434187165
Acidocella	0	2	0	5	0	0.4	0	iacLike	0
Acidovorax	0	0	2	105	0	0	0.019047619047619	iadLike	0.0505452927269974
Acinetobacter	1	5461	0	6419	0.000155787505842031	0.850755569403334	0	iacLike	0.450454777322291
Actinophytocola	0	1	0	5	0	0.2	0	iacLike	0.372474419347619
Advenella	0	0	2	7	0	0	0.285714285714286	iadLike	0.283831346467515
Aeribacillus	0	0	1	7	0	0	0.142857142857143	iadLike	0.00281030377953157
Aestuariivita	0	0	1	1	0	0	1	iadLike	1
Agrobacterium	0	4	0	317	0	0.0126182965299685	0	iacLike	0.80251252339783
Alcaligenaceae	0	0	3	11	0	0	0.272727272727273	iadLike	1.01144449151328
Alcaligenes	0	0	33	34	0	0	0.970588235294118	iadLike	1.00391041725441
Aliishimia	0	1	0	1	0	1	0	iacLike	1
Alkalihalobacillus	0	0	1	47	0	0	0.0212765957446809	iadLike	0.0657576177144471
Allorhizobium	0	1	0	1	0	1	0	iacLike	1
Alteribacillus	0	0	1	5	0	0	0.2	iadLike	1.01736520905043
Alteromonas	0	3	0	92	0	0.0326086956521739	0	iacLike	1.05
Amphritea	0	2	0	5	0	0.4	0	iacLike	0.685796898720079
Amycolatopsis	19	22.5	0.5	117	0.162393162393162	0.192307692307692	0.00427350427350427	iacLike	0.857665823530041
Aquimixticola	0	1	0	1	0	1	0	iacLike	1
Arhodomonas	0	0	2	2	0	0	1	iadLike	1
Aromatoleum	0	0	4	12	0	0	0.333333333333333	iadLike	0.439401831146514
Arthrobacter	0	3	0	227	0	0.013215859030837	0	iacLike	0.383613609464527
Azoarcus	0	0	11	22	0	0	0.5	iadLike	0.627943576663297
Azohydromonas	0	1	0	4	0	0.25	0	iacLike	0.345390090311762
Azospirillum	0	13	1	74	0	0.175675675675676	0.0135135135135135	iacLike	0.823733665336693
Bacillus	0	0	4	5035	0	0	0.000794438927507448	iadLike	1.05
bacterium	0	3	0	60	0	0.05	0	iacLike	0.000639209087768091
Beijerinckia	0	0	1	4	0	0	0.25	iadLike	0.533640916080336
Blastomonas	0	0	14	26	0	0	0.538461538461538	iadLike	0.037528117495887
Bordetella	0	0	13	1189	0	0	0.0109335576114382	iadLike	1.05
Boseongicola	0	0	1	4	0	0	0.25	iadLike	0.183432567518914
Bradyrhizobium	0	0	105	284	0	0	0.369718309859155	iadLike	0.871257663992968
Breoghania	0	0	1	2	0	0	0.5	iadLike	0.458637175834259
Burkholderia	2	1106	0	3752	0.000533049040511727	0.294776119402985	0	iacLike	0.652892751149406
Burkholderiales	0	0	1	9	0	0	0.111111111111111	iadLike	0.0850167492629674
Buttiauxella	0	5	0	16	0	0.3125	0	iacLike	0.906861446989985
Caballeronia	0	33	0	45	0	0.733333333333333	0	iacLike	1.03207756585561
Caenimonas	0	0	1	4	0	0	0.25	iadLike	0.206372503410632
Campylobacter	0	0	2	254	0	0	0.0078740157480315	iadLike	0.0154547452015812
Candidimonas	0	0	1	3	0	0	0.333333333333333	iadLike	0.365726499818343
Caulobacter	0	1	0	63	0	0.0158730158730159	0	iacLike	0.0481369722667149
Cedecea	0	1	0	11	0	0.0909090909090909	0	iacLike	0.0164780232603776
Celeribacter	4	4	0	16	0.25	0.25	0	iacLike	0.638586593583661
Chachezhania	0	1	0	1	0	1	0	iacLike	1
Chryseobacterium	0	1	0	226	0	0.00442477876106195	0	iacLike	0.0248805153016021
Citrobacter	0	1	0	691	0	0.00144717800289436	0	iacLike	0.0614086828645535
Comamonadaceae	0	0	6	24	0	0	0.25	iadLike	0.905922088190991
Comamonas	0	0	13	83	0	0	0.156626506024096	iadLike	0.0238388778602156
Corticibacter	0	2	0	2	0	1	0	iacLike	1
Corynebacterium	0	39	0	1055	0	0.0369668246445498	0	iacLike	0.695820102925295
Croceicoccus	0	1	0	11	0	0.0909090909090909	0	iacLike	0.134200471262526
Cupriavidus	0	1	1	134	0	0.00746268656716418	0.00746268656716418	Hybrid	0.257421794213037
Curvibacter	0	2	0	5	0	0.4	0	iacLike	0.015270875027543
Dasania	0	1	0	1	0	1	0	iacLike	1
Dechloromonas	0	1	0	9	0	0.111111111111111	0	iacLike	0.32300205984078
Delftia	0	0	1	35	0	0	0.0285714285714286	iadLike	0.0472015488973718
Denitratisoma	0	0	1	3	0	0	0.333333333333333	iadLike	0.651385693129067
Denitrobaculum	0	0	1	1	0	0	1	iadLike	1
Derxia	0	1	0	2	0	0.5	0	iacLike	0.476722532588454
Donghicola	0	2	0	6	0	0.333333333333333	0	iacLike	0.00782239289973516
Embleya	0	1	0	3	0	0.333333333333333	0	iacLike	0
Emcibacter	0	0	1	4	0	0	0.25	iadLike	0.372942386831276
Ensifer	0	5	0	72	0	0.0694444444444444	0	iacLike	1.05
Enterobacter	0	14	0	2277	0	0.00614844093104963	0	iacLike	1.05
Enterobacteriaceae	0	6	0	48	0	0.125	0	iacLike	0.148168336838503
Eoetvoesia	0	0	2	2	0	0	1	iadLike	1
Epibacterium	0	1	0	58	0	0.0172413793103448	0	iacLike	0.86417825875843
Erythrobacter	0	1	0	60	0	0.0166666666666667	0	iacLike	0.15031226867871
Escherichia	0	72	0	17066	0	0.00421891480135943	0	iacLike	0.14497421344463
Geobacillus	0	0	1	103	0	0	0.00970873786407767	iadLike	0.29633497336124
Geodermatophilus	0	2	1	29	0	0.0689655172413793	0.0344827586206897	iacLike	0.672531938478799
Glaciecola	0	1	0	8	0	0.125	0	iacLike	0.00829585852076961
Glutamicibacter	0	2	0	26	0	0.0769230769230769	0	iacLike	0
Gordonia	0	28	0	109	0	0.256880733944954	0	iacLike	0.502127533600681
Granulicoccus	0	2	0	2	0	1	0	iacLike	1
Halioglobus	0	0	1	11	0	0	0.0909090909090909	iadLike	0.259909142581043
Halomonas	0	26	0	219	0	0.118721461187215	0	iacLike	0.68639585308707
Herbaspirillum	0	2	0	60	0	0.0333333333333333	0	iacLike	0.312557435300502
Hoeflea	0	0	1	8	0	0	0.125	iadLike	0.0975897740210034
Hoyosella	0	0	3	5	0	0	0.6	iadLike	0.0475846744943409
Hydrogenophaga	0	0	2	27	0	0	0.0740740740740741	iadLike	0.546023008884011
Hylemonella	0	2	0	3	0	0.666666666666667	0	iacLike	1.05
Ideonella	0	1	1	7	0	0.142857142857143	0.142857142857143	Hybrid	1.05
Immundisolibacter	0	0	1	1	0	0	1	iadLike	1
Izhakiella	0	1	0	2	0	0.5	0	iacLike	0.00493838245527397
Janibacter	0	1	0	31	0	0.032258064516129	0	iacLike	0.507746689487957
Jannaschia	0	0	1	15	0	0	0.0666666666666667	iadLike	0.128888675090415
Janthinobacterium	0	1	0	75	0	0.0133333333333333	0	iacLike	0.0933572730300134
Kerstersia	0	0	4	4	0	0	1	iadLike	1
Kineobactrum	0	0	2	2	0	0	1	iadLike	1
Kineococcus	0	1	0	9	0	0.111111111111111	0	iacLike	0.0916984302884908
Kitasatospora	0	1	0	41	0	0.024390243902439	0	iacLike	0
Klebsiella	0	25	0	11201	0	0.00223194357646639	0	iacLike	1.05
Klenkia	0	1	0	5	0	0.2	0	iacLike	0.36465835021849
Kluyvera	0	14	0	19	0	0.736842105263158	0	iacLike	0.61960191109739
Kocuria	0	1	0	98	0	0.0102040816326531	0	iacLike	0.00266029241934273
Komagataeibacter	0	1	0	61	0	0.0163934426229508	0	iacLike	0.0454053188959405
Kushneria	1	0	0	11	0.0909090909090909	0	0	Hybrid	0.482621637861606
Labrenzia	0	1	1	34	0	0.0294117647058824	0.0294117647058824	Hybrid	0.976973915433796
Lampropedia	0	1	0	4	0	0.25	0	iacLike	0.377953142389082
Leclercia	0	41	0	44	0	0.931818181818182	0	iacLike	0.841530214805841
Lelliottia	0	16	0	19	0	0.842105263157895	0	iacLike	0.215411921250762
Limnohabitans	0	0	2	34	0	0	0.0588235294117647	iadLike	1.05
Litorimicrobium	0	1	0	1	0	1	0	iacLike	1
Luminiphilus	0	0	1	1	0	0	1	iadLike	1
Mangrovibacter	0	1	0	2	0	0.5	0	iacLike	0.207409418650255
Mangrovicoccus	0	2	0	2	0	1	0	iacLike	1
marine	0	0	2	4	0	0	0.5	iadLike	0.305312912110775
Marinobacterium	0	9	2	32	0	0.28125	0.0625	iacLike	0.993934115826499
Marinomonas	0	12	0	48	0	0.25	0	iacLike	0.829901958069858
Marivivens	0	1	0	3	0	0.333333333333333	0	iacLike	0.392793990972536
Martelella	0	4	0	13	0	0.307692307692308	0	iacLike	0.143331431527724
Massilia	0	3	1	79	0	0.0379746835443038	0.0126582278481013	iacLike	1.01241590816599
Mesorhizobium	0	0	2	522	0	0	0.00383141762452107	iadLike	1.05
Methylarcula	0	0	1	1	0	0	1	iadLike	1
Microbispora	0	1	0	30	0	0.0333333333333333	0	iacLike	0
Mycobacterium	0	2	1	7294	0	0.000274197970935015	0.000137098985467508	iacLike	1.05
Mycolicibacterium	0	6	1	289	0	0.0207612456747405	0.00346020761245675	iacLike	0.394821417593902
Naumannella	0	1	0	3	0	0.333333333333333	0	iacLike	0.0125351914568297
Nioella	0	0	1	3	0	0	0.333333333333333	iadLike	0
Nocardia	0	22	1	208	0	0.105769230769231	0.00480769230769231	iacLike	0.673986873375412
Nocardioides	1	7	5	164	0.00609756097560976	0.0426829268292683	0.0304878048780488	iacLike	0.770967653631979
Nonomuraea	0	1	0	47	0	0.0212765957446809	0	iacLike	0.150458744943295
Novosphingobium	0	13	7	150	0	0.0866666666666667	0.0466666666666667	iacLike	1.04241387185039
Oceanicella	0	0	1	4	0	0	0.25	iadLike	0.0831949046284665
Oceanicola	0	1	0	7	0	0.142857142857143	0	iacLike	0.105289765274763
Oceanobacter	0	1	0	1	0	1	0	iacLike	1
Ottowia	0	0	1	6	0	0	0.166666666666667	iadLike	0.462547253630602
Pacificibacter	0	1	0	3	0	0.333333333333333	0	iacLike	0.83465899303902
Paenalcaligenes	0	0	4	4	0	0	1	iadLike	1
Paeniglutamicibacter	0	1	0	5	0	0.2	0	iacLike	0.603399392974944
Pannonibacter	0	10	0	16	0	0.625	0	iacLike	0.089663085841792
Pantoea	0	2	0	384	0	0.00520833333333333	0	iacLike	0.0129302815674605
Paraburkholderia	6	130.5	2.5	247	0.0242914979757085	0.52834008097166	0.0101214574898785	iacLike	0.92984855953926
Paracoccus	0	3	6	122	0	0.0245901639344262	0.0491803278688525	iadLike	0.955881871856627
Paraglaciecola	0	2	0	15	0	0.133333333333333	0	iacLike	1.05
Parahaliea	0	0	1	4	0	0	0.25	iadLike	0.184162820933826
Paralcaligenes	0	0	1	1	0	0	1	iadLike	1
Paraoceanicella	0	0	1	1	0	0	1	iadLike	1
Parapusillimonas	0	0	3	3	0	0	1	iadLike	1
Pararhodobacter	0	1	0	6	0	0.166666666666667	0	iacLike	0.440643256359772
Pelomonas	0	1	0	9	0	0.111111111111111	0	iacLike	0.714890824682817
Phaeobacter	0	1	3	56	0	0.0178571428571429	0.0535714285714286	iadLike	1.05
Phyllobacterium	0	0	1	29	0	0	0.0344827586206897	iadLike	0.299169137797837
Pigmentiphaga	0	0	6	10	0	0	0.6	iadLike	0.752553473359647
Planktotalea	0	0	4	4	0	0	1	iadLike	1
Pluralibacter	5	0	0	21	0.238095238095238	0	0	Hybrid	0.97906960669109
Pokkaliibacter	0	1	0	1	0	1	0	iacLike	1
Ponticoccus	0	1	0	3	0	0.333333333333333	0	iacLike	0.00116141044973763
Poseidonocella	0	1	0	3	0	0.333333333333333	0	iacLike	0.0587521461487349
Prauserella	3	1	0	13	0.230769230769231	0.0769230769230769	0	Hybrid	0.854270183866347
Propionibacteriaceae	0	5	0	11	0	0.454545454545455	0	iacLike	0.177531611126931
Propioniferax	0	1	0	1	0	1	0	iacLike	1
Prosthecomicrobium	0	0	1	3	0	0	0.333333333333333	iadLike	0.00152880394495906
Proteobacteria	1	0	0	1	1	0	0	Hybrid	1
Pseudacidovorax	0	0	4	4	0	0	1	iadLike	1
Pseudocitrobacter	0	4	0	4	0	1	0	iacLike	1
Pseudoglutamicibacter	0	1	0	3	0	0.333333333333333	0	iacLike	0.177056506999793
Pseudolabrys	0	0	2	4	0	0	0.5	iadLike	0.421691517003007
Pseudomonas	7	504	2	10565	0.000662565073355419	0.0477046852815902	0.000189304306672977	iacLike	0.884497368484249
Pseudonocardia	1	2	0	59	0.0169491525423729	0.0338983050847458	0	iacLike	0.888599330675431
Pseudooceanicola	0	3	0	19	0	0.157894736842105	0	iacLike	0.436752729979366
Pseudoteredinibacter	0	0	3	3	0	0	1	iadLike	1
Pseudovibrio	0	0	19	24	0	0	0.791666666666667	iadLike	0.478842264457446
Pseudoxanthomonas	0	5	1	67	0	0.0746268656716418	0.0149253731343284	iacLike	0.173079580214303
Pueribacillus	0	0	1	1	0	0	1	iadLike	1
Pusillimonas	0	0	19	25	0	0	0.76	iadLike	0.990407908217625
Raineyella	0	1	0	2	0	0.5	0	iacLike	0.516693464485009
Ramlibacter	0	0	5	16	0	0	0.3125	iadLike	1.05
Raoultella	0	155	0	192	0	0.807291666666667	0	iacLike	0.873406044710166
Reyranella	0	0	1	3	0	0	0.333333333333333	iadLike	0.0490368611205266
Rhizobiales	0	3	0	873	0	0.00343642611683849	0	iacLike	0.00538769343974965
Rhizobium	0	11	0	928	0	0.0118534482758621	0	iacLike	1.05
Rhodobacteraceae	0	1	4	105	0	0.00952380952380952	0.0380952380952381	iadLike	0.632573019650838
Rhodococcus	6.33333333333333	72.5	42.1666666666667	404	0.0156765676567657	0.179455445544554	0.104372937293729	iacLike	0.736726653166129
Rhodoferax	0	0	2	18	0	0	0.111111111111111	iadLike	1.05
Rhodoplanes	0	0	1	6	0	0	0.166666666666667	iadLike	0.836106474695303
Rhodospirillaceae	0	0	1	32	0	0	0.03125	iadLike	0.253745999906828
Rhodospirillales	0	0	1	5	0	0	0.2	iadLike	0.02467404278335
Robbsia	0	3	0	3	0	1	0	iacLike	1
Roseobacter	0	1	0	227	0	0.00440528634361234	0	iacLike	0.0279364988280828
Roseomonas	0	0	1	41	0	0	0.024390243902439	iadLike	0.0662383627517798
Roseovarius	0	0	1	47	0	0	0.0212765957446809	iadLike	0
Ruegeria	0	0	4	150	0	0	0.0266666666666667	iadLike	1.05
Rugamonas	0	1	0	7	0	0.142857142857143	0	iacLike	0.0200991109493257
Saccharomonospora	0	1	0	18	0	0.0555555555555556	0	iacLike	0.079876189617377
Saccharopolyspora	2	11	0	31	0.0645161290322581	0.354838709677419	0	iacLike	0.617971169996686
Sagittula	0	2	0	3	0	0.666666666666667	0	iacLike	1.05
Salinibacter	0	0	1	4	0	0	0.25	iadLike	1.05
Salinicola	0	3	0	20	0	0.15	0	iacLike	0.179211644118123
Scandinavium	0	3	0	3	0	1	0	iacLike	1
Sciscionella	0	0	1	2	0	0	0.5	iadLike	0.580961727183513
Scopulibacillus	0	0	1	1	0	0	1	iadLike	1
Serratia	0	4	0	839	0	0.00476758045292014	0	iacLike	1.05
Sphaerotilus	0	3	0	7	0	0.428571428571429	0	iacLike	1.05
Sphingobium	0	6	2	132	0	0.0454545454545455	0.0151515151515152	iacLike	0.705204662992902
Sphingomonas	0	8.33333333333333	4.66666666666667	410	0	0.0203252032520325	0.0113821138211382	iacLike	0.554244351372836
Sphingopyxis	0	0	2	68	0	0	0.0294117647058824	iadLike	0.0100814923688144
Sphingosinicella	0	0	2	9	0	0	0.222222222222222	iadLike	0
Spongiibacter	0	0	1	5	0	0	0.2	iadLike	0.242719714512363
Sporosarcina	0	0	13	55	0	0	0.236363636363636	iadLike	0.0727268028479935
Stappia	0	1	0	17	0	0.0588235294117647	0	iacLike	0.0647610838740255
Streptomyces	4	18	0	2039	0.00196174595389897	0.00882785679254536	0	iacLike	1.05
Sulfitobacter	0	0	3	65	0	0	0.0461538461538462	iadLike	0.235634437144325
Tabrizicola	0	1	0	9	0	0.111111111111111	0	iacLike	0.087303386686671
Thalassobius	0	3	0	9	0	0.333333333333333	0	iacLike	0
Thalassococcus	0	0	1	3	0	0	0.333333333333333	iadLike	0.23335007466128
Thalassospira	0	0	1	47	0	0	0.0212765957446809	iadLike	0.0740345909315882
Thauera	2	0	0	24	0.0833333333333333	0	0	Hybrid	0.373916603907075
Thermogemmatispora	0	0	1	4	0	0	0.25	iadLike	0.17700816576019
Thioclava	0	2	0	26	0	0.0769230769230769	0	iacLike	0.0140729009532599
Thiomonas	0	0	1	16	0	0	0.0625	iadLike	0.584219621925788
Trinickia	1	0	0	12	0.0833333333333333	0	0	Hybrid	0.150974966998949
Tsukamurella	0	1	0	23	0	0.0434782608695652	0	iacLike	0.39385302837174
Variovorax	0	0	99	105	0	0	0.942857142857143	iadLike	0.925407774759479
Verticiella	0	1	0	1	0	1	0	iacLike	1
Vibrio	0	2	0	4297	0	0.000465441005352572	0	iacLike	0.862581327588329
Vitreoscilla	0	2	0	5	0	0.4	0	iacLike	0
Williamsia	0	7	0	12	0	0.583333333333333	0	iacLike	0.6363584027038
Xenophilus	0	0	3	4	0	0	0.75	iadLike	0.256874055218237
Zobellella	0	0	1	5	0	0	0.2	iadLike	0.739173933388904
Zoogloea	1	1	0	5	0.2	0.2	0	iacLike	0.933220690728559
